SNR,PDR,NoisePower,TXPower,Jammed
0.511556240369801,0.89,-100,0,0
0.514637904468412,0.25,-100,-10,0
0.516178736517719,0.27,-100,-10,0
0.516178736517719,0.62,-100,0,0
0.516178736517719,0.72,-100,0,0
0.519260400616332,0.31,-100,0,0
0.519260400616334,0.74,-100,-10,0
0.519260400616334,0.93,-100,0,0
0.522342064714947,0.09,-100,-10,0
0.522342064714947,0.26,-100,-10,0
0.522342064714947,0.64,-100,0,0
0.523882896764252,0.61,-100,-10,0
0.525423728813561,0.79,-100,0,0
0.525423728813561,0.91,-100,-10,0
0.530046224961479,0.35,-100,0,0
0.531587057010787,0.2,-100,0,0
0.531587057010787,0.2,-100,-10,0
0.531587057010787,0.78,-100,0,0
0.533127889060094,0.5,-100,0,0
0.536209553158707,0.35,-100,-10,0
0.536209553158707,0.36,-100,-10,0
0.536209553158707,0.43,-100,0,0
0.536209553158707,0.55,-100,0,0
0.536209553158707,0.7,-100,0,0
0.536209553158707,0.8,-100,0,0
0.536209553158707,0.81,-100,-10,0
0.536209553158707,0.94,-100,-10,0
0.539291217257319,0.01,-100,-10,0
0.539291217257319,0.01,-100,-10,0
0.539291217257319,0.01,-100,-10,0
0.539291217257319,0.05,-100,-10,0
0.542372881355932,0.68,-100,0,0
0.542372881355934,0.41,-100,-10,0
0.545454545454547,0.27,-100,-10,0
0.546995377503852,0.38,-100,-10,0
0.550077041602465,0.82,-100,0,0
0.550077041602467,0.13,-100,-10,0
0.553158705701077,0.24,-100,-10,0
0.554699537750387,0.2,-100,-10,0
0.559322033898305,0.16,-100,-10,0
0.559322033898305,0.57,-100,0,0
0.559322033898307,0.79,-100,-10,0
0.56240369799692,0.77,-100,0,0
0.565485362095532,0.41,-100,-10,0
0.565485362095532,0.58,-100,0,0
0.565485362095532,0.77,-100,-10,0
0.567026194144838,0.11,-100,-10,0
0.567026194144838,0.82,-100,-10,0
0.568567026194145,0.16,-100,0,0
0.568567026194145,0.26,-100,-10,0
0.568567026194145,0.43,-100,-10,0
0.570107858243452,0.25,-100,-10,0
0.570107858243452,0.78,-100,0,0
0.570107858243452,0.82,-100,0,0
0.57473035439137,0.48,-100,0,0
0.574730354391372,0.52,-100,0,0
0.576271186440678,0.54,-100,0,0
0.57627118644068,0.33,-100,-10,0
0.577812018489985,0.37,-100,-10,0
0.583975346687213,0.62,-100,0,0
0.585516178736518,0.51,-100,0,0
0.587057010785825,0.42,-100,-10,0
0.58859784283513,0.71,-100,-10,0
0.58859784283513,0.8,-100,0,0
0.588597842835133,0.84,-100,0,0
0.590138674884438,0.03,-100,-10,0
0.590138674884438,0.0600000000000001,-100,-10,0
0.591679506933745,0.27,-100,0,0
0.591679506933745,0.45,-100,-10,0
0.596302003081663,0.69,-100,0,0
0.596302003081663,0.71,-100,0,0
0.596302003081665,0.19,-100,-10,0
0.596302003081665,0.3,-100,-10,0
0.596302003081665,0.48,-100,0,0
0.59784283513097,0.29,-100,-10,0
0.604006163328198,0.36,-100,-10,0
0.604006163328198,0.36,-100,-10,0
0.607087827426811,0.41,-100,0,0
0.608628659476116,0.68,-100,0,0
0.610169491525423,0.96,-100,0,0
0.610169491525425,0.32,-100,-10,0
0.611710323574731,0.88,-100,0,0
0.613251155624036,0.52,-100,-10,0
0.614791987673343,0.74,-100,0,0
0.616332819722651,0.02,-100,-10,0
0.616332819722651,0.02,-100,-10,0
0.616332819722651,0.02,-100,-10,0
0.616332819722651,0.0600000000000001,-100,-10,0
0.616332819722651,0.08,-100,-10,0
0.616332819722651,0.18,-100,-10,0
0.616332819722651,0.82,-100,0,0
0.616332819722651,0.83,-100,0,0
0.620955315870571,0.19,-100,-10,0
0.620955315870571,0.9,-100,0,0
0.622496147919878,0.87,-100,0,0
0.625577812018491,0.82,-100,0,0
0.627118644067796,0.85,-100,0,0
0.627118644067798,0.14,-100,-10,0
0.630200308166411,0.7,-100,0,0
0.631741140215716,0.43,-100,-10,0
0.633281972265024,0.46,-100,-10,0
0.633281972265024,0.68,-100,0,0
0.633281972265026,0.85,-100,0,0
0.634822804314329,0.99,-100,0,0
0.634822804314331,0.74,-100,-10,0
0.637904468412944,0.14,-100,-10,0
0.637904468412944,0.69,-100,-10,0
0.637904468412944,0.8,-100,0,0
0.639445300462249,0.17,-100,-10,0
0.639445300462251,0.45,-100,0,0
0.639445300462251,0.98,-100,0,0
0.640986132511556,0.41,-100,-10,0
0.642526964560864,0.0600000000000001,-100,-10,0
0.642526964560864,0.55,-100,0,0
0.642526964560864,0.66,-100,0,0
0.648690292758091,0.89,-100,0,0
0.650231124807396,0.6,-100,-10,0
0.653312788906011,0.34,-100,-10,0
0.653312788906011,0.47,-100,-10,0
0.654853620955316,0.49,-100,-10,0
