Scenario,Distance,Bearing,Speed,Txlat,Txlong,Rxlat,Rxlong,RSS,RFRSS
Tourstotal_RF_VLC,10.1778974805744,-89.9999599229105,1.85,41.2084233333333,29.07535,41.2084233333333,29.0752283333333,-46.7534980774,-61.8469906087713
Tourstotal_RF_VLC,9.94232520442929,84.6523131007177,1.85,41.2084316666667,29.0753133333333,41.2084233333333,29.075195,-48.3319206238,-61.4299839432835
Tourstotal_RF_VLC,9.52595579212068,84.4178413457216,1.85,41.2084316666667,29.0752766666667,41.2084233333333,29.0751633333333,-48.8755950928,-58.3754112905896
Tourstotal_RF_VLC,9.48078000734722,-89.9999626677021,1.85,41.2084316666667,29.07524,41.2084316666667,29.0751266666667,-48.6963195801,-59.1985681591376
Tourstotal_RF_VLC,9.2317439929447,85.3942856343099,1.85,41.2084383333333,29.0752033333333,41.2084316666667,29.0750933333333,-48.6904945374,-58.4489835736861
Tourstotal_RF_VLC,8.95382597778595,85.2510032298783,1.85,41.2084383333333,29.0751633333333,41.2084316666667,29.0750566666667,-47.4590148926,-59.2415132967042
Tourstotal_RF_VLC,8.53706248713508,85.01859051026,1.85,41.2084383333333,29.0751266666667,41.2084316666667,29.075025,-47.8701057434,-64.9018071541374
Tourstotal_RF_VLC,7.83169029015861,70.6530332037662,3.7,41.2084466666667,29.075085,41.2084233333333,29.0749966666667,-47.1804466248,-58.2589285238695
Tourstotal_RF_VLC,7.0478423495433,68.3994620412996,3.7,41.2084383333333,29.075045,41.208415,29.0749666666667,-46.9042816162,-57.8783537530621
Tourstotal_RF_VLC,6.47805053797811,57.0740918247116,1.85,41.2084383333333,29.0750083333333,41.2084066666667,29.0749433333333,-47.3808441162,-56.1647190173357
Tourstotal_RF_VLC,6.01742791339202,51.9782777744142,1.85,41.2084233333333,29.0749716666667,41.20839,29.074915,-45.4828643799,-55.4170977015457
Tourstotal_RF_VLC,5.88272801283785,38.040036251954,1.85,41.208415,29.0749383333333,41.2083733333333,29.074895,-44.8713378906,-55.9188184571116
Tourstotal_RF_VLC,5.17690377287911,30.7774301739193,0,41.20839,29.07491,41.20835,29.0748783333333,-44.7130012512,-55.3877355537005
Tourstotal_RF_VLC,5.7669884408945,21.2625362104259,0,41.2083733333333,29.07489,41.208325,29.074865,-46.0567817688,-54.4095635868332
Tourstotal_RF_VLC,6.81518580170337,17.8704969613993,3.7,41.2083583333333,29.0748783333333,41.2083,29.0748533333333,-52.5032196045,-55.5236936465652
Tourstotal_RF_VLC,8.49178231358683,16.2075123940448,5.55,41.2083416666667,29.074865,41.2082683333333,29.0748366666667,-55.5884857178,-57.5060866280824
Tourstotal_RF_VLC,9.49940316831916,17.070123135543,5.55,41.208325,29.0748583333333,41.2082433333333,29.074825,-59.4847145081,-57.3445089995103
Tourstotal_RF_VLC,11.3889688543824,19.3011827541787,7.4,41.2083083333333,29.0748533333333,41.2082116666667,29.0748083333333,-59.2687034607,-59.0734765113678
Tourstotal_RF_VLC,13.4114198895759,17.5465825317335,9.25,41.2082933333333,29.074845,41.2081783333333,29.0747966666667,-62.1601867676,-57.4639964180149
Tourstotal_RF_VLC,16.0958469294392,17.1282419854492,9.25,41.208285,29.0748416666667,41.2081466666667,29.074785,-43.1163291931,-57.4414223948348
Tourstotal_RF_VLC,18.0726111136458,17.5099493870757,9.25,41.2082766666667,29.0748366666667,41.2081216666667,29.0747716666667,-39.3450698853,-60.9118332512441
Tourstotal_RF_VLC,21.7246511413269,17.1705942137284,12.95,41.2082766666667,29.0748366666667,41.20809,29.07476,-40.1159515381,-63.2146357836718
Tourstotal_RF_VLC,25.4753511368644,16.2075635274761,12.95,41.2082766666667,29.0748333333333,41.2080566666667,29.0747483333333,-44.5618858337,-69.9268457895403
Tourstotal_RF_VLC,29.4252712893017,16.8000638682101,12.95,41.2082766666667,29.0748333333333,41.2080233333333,29.0747316666667,-48.4878807068,-68.3490456945786
Tourstotal_RF_VLC,33.2006520291892,17.3471397791655,12.95,41.2082766666667,29.0748333333333,41.2079916666667,29.074715,-50.6148490906,-67.4613813027156
Tourstotal_RF_VLC,37.0299648263627,17.0786132534729,11.1,41.2082766666667,29.0748333333333,41.2079583333333,29.0747033333333,-53.2401390076,-77.5458109334359
Tourstotal_RF_VLC,40.6826155754135,16.9361258725363,11.1,41.2082766666667,29.0748283333333,41.2079266666667,29.0746866666667,-55.7719039917,-77.5060525062381
Tourstotal_RF_VLC,43.6264069878687,17.0987889800141,9.25,41.2082766666667,29.0748283333333,41.2079016666667,29.074675,-58.1866607666,-67.1643456778613
Tourstotal_RF_VLC,45.5521939730157,17.8229234363124,7.4,41.20826,29.074825,41.20787,29.0746583333333,-60.8818511963,-63.185713787219
Tourstotal_RF_VLC,48.2875517752254,17.1283216277755,5.55,41.2082516666667,29.0748166666667,41.2078366666667,29.0746466666667,-63.6363792419,-72.8733024002845
Tourstotal_RF_VLC,48.4974395424757,17.9154180287764,3.7,41.2082283333333,29.0748083333333,41.2078133333333,29.07463,-66.1706924438,-70.4380090275649
Tourstotal_RF_VLC,50.3897890559386,17.7197506050767,1.85,41.2082116666667,29.0747966666667,41.20778,29.0746133333333,-68.1128921509,-66.5658797683445
Tourstotal_RF_VLC,49.6390984786188,18.505199049537,0,41.2081783333333,29.074785,41.207755,29.0745966666667,-70.1530838013,-69.5741058564971
Tourstotal_RF_VLC,50.5623250059786,18.3217622301842,0,41.208155,29.0747716666667,41.2077233333333,29.0745816666667,-71.5809173584,-72.5028357758022
Tourstotal_RF_VLC,49.728309637262,18.8098874816062,1.85,41.2081216666667,29.07476,41.2076983333333,29.0745683333333,-72.8287200928,-68.7794956653028
Tourstotal_RF_VLC,49.8647465762874,19.2648391840648,3.7,41.2080966666667,29.0747483333333,41.2076733333333,29.0745516666667,-73.4858016968,-75.2945037562305
Tourstotal_RF_VLC,48.0716682888124,19.8367589185476,7.4,41.208065,29.074735,41.2076583333333,29.07454,-74.6046218872,-75.1985690506284
Tourstotal_RF_VLC,44.4019068757836,20.7828673916856,11.1,41.2080233333333,29.07472,41.20765,29.0745316666667,-75.1227264404,-77.117503735122
Tourstotal_RF_VLC,41.5805893263541,20.6144761197191,9.25,41.2079916666667,29.0747033333333,41.2076416666667,29.0745283333333,-75.4342880249,-72.0891299398655
Tourstotal_RF_VLC,38.7346426188876,21.0970576394485,9.25,41.2079666666667,29.07469,41.2076416666667,29.0745233333333,-76.4294891357,-68.1454363829881
Tourstotal_RF_VLC,36.1156274686777,21.7532074762542,9.25,41.2079433333333,29.0746833333333,41.2076416666667,29.0745233333333,-76.4496307373,-73.5641120903874
Tourstotal_RF_VLC,33.120337187612,21.7433054691878,9.25,41.2079183333333,29.07467,41.2076416666667,29.0745233333333,-75.9041213989,-67.181998469312
Tourstotal_RF_VLC,30.1769486445018,21.97734218048,9.25,41.2078933333333,29.0746583333333,41.2076416666667,29.0745233333333,-75.5960845947,-66.2860090337294
Tourstotal_RF_VLC,27.4057732655372,22.1151801317907,9.25,41.20787,29.0746466666667,41.2076416666667,29.0745233333333,-75.0738677979,-69.4352337782802
Tourstotal_RF_VLC,24.5169875685276,22.7497634124331,9.25,41.207845,29.0746333333333,41.2076416666667,29.07452,-73.954788208,-68.508082794428
Tourstotal_RF_VLC,22.5384557021202,22.937310111992,7.4,41.20782,29.074625,41.2076333333333,29.07452,-72.5673065186,-64.6224572390907
Tourstotal_RF_VLC,20.623552615192,22.2461481975763,9.25,41.207805,29.0746133333333,41.2076333333333,29.07452,-70.9546203613,-63.0638667827413
Tourstotal_RF_VLC,17.8475171209138,23.9678763093248,9.25,41.20778,29.0746016666667,41.2076333333333,29.074515,-68.9306640625,-61.7029928850613
Tourstotal_RF_VLC,15.9884513763746,25.2961644919105,7.4,41.207755,29.0745933333333,41.207625,29.0745116666667,-67.5910263062,-63.9380144496146
Tourstotal_RF_VLC,14.1828232604097,25.6291303728092,7.4,41.20774,29.0745816666667,41.207625,29.0745083333333,-65.9904937744,-59.0028040036584
Tourstotal_RF_VLC,12.2116006642804,26.4412144780363,5.55,41.207715,29.0745733333333,41.2076166666667,29.0745083333333,-64.6952667236,-58.1834123490501
Tourstotal_RF_VLC,11.2589221511515,27.2703678019919,5.55,41.2076983333333,29.074565,41.2076083333333,29.0745033333333,-62.8887367249,-60.2310935931852
Tourstotal_RF_VLC,9.22895952002032,27.9257795984972,5.55,41.2076816666667,29.0745516666667,41.2076083333333,29.0745,-61.4198417664,-59.9554979332745
Tourstotal_RF_VLC,8.14926228281597,27.5124019417985,3.7,41.2076666666667,29.07454,41.2076016666667,29.074495,-59.649723053,-58.0901352232886
Tourstotal_RF_VLC,7.13443949910353,27.9707533156222,3.7,41.20765,29.0745316666667,41.2075933333333,29.0744916666667,-57.8009757996,-57.6344085170923
